2025-05-19 15:43:49,175 - INFO - 系统 CPU: 0.5%, 内存: 34.7%, 连接: 150 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 15), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:44:20,437 - INFO - 系统 CPU: 0.2%, 内存: 35.4%, 连接: 151 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:44:51,725 - INFO - 系统 CPU: 0.5%, 内存: 34.5%, 连接: 149 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:45:22,988 - INFO - 系统 CPU: 0.3%, 内存: 34.3%, 连接: 152 (已建立: 77, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:45:54,247 - INFO - 系统 CPU: 0.2%, 内存: 34.6%, 连接: 144 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:46:25,508 - INFO - 系统 CPU: 0.5%, 内存: 34.5%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:46:56,767 - INFO - 系统 CPU: 0.2%, 内存: 34.7%, 连接: 142 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:47:28,026 - INFO - 系统 CPU: 0.5%, 内存: 34.8%, 连接: 145 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:47:59,285 - INFO - 系统 CPU: 0.0%, 内存: 34.6%, 连接: 141 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:48:30,545 - INFO - 系统 CPU: 0.8%, 内存: 34.8%, 连接: 140 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 8), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:49:01,806 - INFO - 系统 CPU: 0.0%, 内存: 34.4%, 连接: 147 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:49:33,071 - INFO - 系统 CPU: 0.5%, 内存: 34.4%, 连接: 152 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:50:04,333 - INFO - 系统 CPU: 0.3%, 内存: 34.4%, 连接: 148 (已建立: 73, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:50:35,596 - INFO - 系统 CPU: 0.5%, 内存: 34.8%, 连接: 152 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:51:06,856 - INFO - 系统 CPU: 0.0%, 内存: 34.4%, 连接: 142 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:51:38,121 - INFO - 系统 CPU: 0.8%, 内存: 35.1%, 连接: 146 (已建立: 73, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:52:09,382 - INFO - 系统 CPU: 0.0%, 内存: 34.8%, 连接: 141 (已建立: 65, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:52:40,642 - INFO - 系统 CPU: 0.5%, 内存: 34.9%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
